ENSEMBL	SYMBOL	log2FoldChange	lfcSE	stat	pvalue	padj	foldChange
ENSG00000000003.14	TSPAN6	0.153961236990113	0.0832893166120866	1.84851122872307	0.064528421509055	NA	1.11262022577894
ENSG00000000005.5	TNMD	NA	NA	NA	NA	NA	NA
ENSG00000000419.12	DPM1	-0.20192227910137	0.124077363359632	-1.62739015106331	0.103654261955536	0.275464587493136	-1.15022992646986
ENSG00000000457.13	SCYL3	0.0392364760343304	0.101216338730827	0.3876496277807	0.698275337487597	0.835873727031471	1.02756985732179
ENSG00000000460.16	C1orf112	-0.0644382112583827	0.104406835140379	-0.617183838316168	0.537113474563353	0.72523387288428	-1.04567767123027
ENSG00000000938.12	FGR	-0.365861779437171	0.0952169520856437	-3.84240170918402	0.000121836211678705	0.00213790310715879	-1.28865116251937
ENSG00000000971.15	CFH	0.0291098667708685	0.0832726068142613	0.349573141571006	0.726659070580327	NA	1.0203823623274
ENSG00000001036.13	FUCA2	-0.0165602025877536	0.100147889418772	-0.165357479661968	0.86866261920963	0.934500266488812	-1.01154479032043
ENSG00000001084.10	GCLC	0.0380713489546993	0.103283160658681	0.368611385553095	0.712417407864169	0.843823157063144	1.02674032224256
ENSG00000001167.14	NFYA	-0.0345595267241428	0.0759277000185182	-0.455163619018014	0.648991531706588	0.805104795979844	-1.02424406045854
ENSG00000001460.17	STPG1	0.28794714269154	0.11783421923159	2.44366317839821	0.0145389930678914	0.0751941859639888	1.22090178057927
ENSG00000001461.16	NIPAL3	0.242883230650569	0.081828073453192	2.96821396863883	0.0029953573890143	0.0240863684509993	1.18335523906139
ENSG00000001497.16	LAS1L	0.0619690136127218	0.0845736493294268	0.732722474483079	0.463727713556186	0.667802118812059	1.04388950638957
ENSG00000001561.6	ENPP4	-0.00476990440878939	0.142404015481207	-0.0334955751961845	0.973279394335589	0.987259412846191	-1.00331171745167
ENSG00000001617.11	SEMA3F	0.0093230702837819	0.180942334412241	0.0515250912069097	0.958907108510605	0.980145275038546	1.00648318533371
ENSG00000001626.14	CFTR	0.00878482169829756	0.034721776384648	0.253006113540369	0.800263488944357	NA	1.00610775110075
ENSG00000001629.9	ANKIB1	0.0245051279447182	0.0926085136417829	0.264609882839778	0.791310006040874	0.893102794490385	1.01713073691594
ENSG00000001630.15	CYP51A1	-0.441400832568949	0.106573689884392	-4.14174298598244	3.44676456328395e-05	0.000789559758778446	-1.3579222071008
ENSG00000001631.14	KRIT1	0.0445672459996641	0.078499252596661	0.567741023327396	0.570210831446662	0.750766670017399	1.03137375973891
ENSG00000002016.16	RAD52	0.0256804181416006	0.102044783028818	0.251658314902274	0.801305180019499	0.897470349636916	1.01795967914409
ENSG00000002330.13	BAD	-0.0389881918646228	0.109069382717665	-0.357462295037893	0.720745748254187	0.848899287861504	-1.027393030363
ENSG00000002549.12	LAP3	-0.0553064394381601	0.0929506518268245	-0.595008623943822	0.551837706382832	0.736426571625601	-1.03907978833714
ENSG00000002586.18	CD99	NA	NA	NA	NA	NA	NA
ENSG00000002587.9	HS3ST1	-0.0521853917724858	0.0635316567977458	-0.821407695042788	0.411414081880801	NA	-1.0368343295945
ENSG00000002726.19	AOC1	0.120631472585768	0.152138976163134	0.792903144401462	0.42783425519707	NA	1.08721063423225
ENSG00000002745.12	WNT16	-0.286679188360537	0.149570835503818	-1.91667839117753	0.0552788021429305	NA	-1.21982922707175
ENSG00000002746.14	HECW1	-0.0155953421183657	0.0496863621575726	-0.313875708366563	0.753615440631857	NA	-1.01086850513419
ENSG00000002822.15	MAD1L1	0.221516006131205	0.105976518344684	2.09023668253314	0.0365965438770409	0.140444671430654	1.1659581497118
ENSG00000002834.17	LASP1	0.179014173915906	0.0942392951401771	1.89957038249946	0.0574895220517087	0.190758622156829	1.13211002459533
ENSG00000002919.14	SNX11	-0.124879806467422	0.0894321703179963	-1.39636336704548	0.162605100665001	0.36688067035787	-1.09041688427859
ENSG00000002933.7	TMEM176A	-0.000315621381664966	0.0584872462656632	-0.00539641377936204	0.995694305659643	NA	-1.00021879600318
ENSG00000003056.7	M6PR	-0.0639665153055669	0.0818843723917405	-0.781180992626367	0.434696051268931	0.645263274470643	-1.04533583786536
ENSG00000003096.13	KLHL13	0.206080242225249	0.127201705033721	1.62010597397744	0.105209514364553	NA	1.15354976333547
ENSG00000003137.8	CYP26B1	-0.0244992453196916	0.0431784170332964	-0.567395634277176	0.570445415322527	NA	-1.01712658954843
ENSG00000003147.17	ICA1	0.14069298623828	0.176579665744333	0.796767768503919	0.42558591751029	0.637417614682851	1.10243453372619
ENSG00000003249.13	DBNDD1	0.0838589117064221	0.185995934866341	0.450864217901775	0.652087414098083	0.807196829457825	1.0598491304332
ENSG00000003393.14	ALS2	-0.0903731269088968	0.0901175892712689	-1.00283560223586	0.315940188004886	0.539386048668078	-1.06464549809975
ENSG00000003400.14	CASP10	-0.121713189420584	0.136699179684399	-0.890372493101909	0.373265907268799	0.591991083293001	-1.08802611846079
ENSG00000003402.19	CFLAR	0.1266388167234	0.0886209319976703	1.42899441326942	0.153005839178722	0.353548504888827	1.09174718915977
ENSG00000003436.14	TFPI	0.00563534268711038	0.0598834222853137	0.094105220978535	0.925025573048151	NA	1.00391376073203
ENSG00000003509.15	NDUFAF7	-0.144549771858942	0.0991334567952793	-1.45813307163748	0.144803867211885	0.341453101815934	-1.1053856369652
ENSG00000003756.16	RBM5	-0.0414426390275594	0.0791982635459907	-0.523277117098578	0.600781422697196	0.770641941006107	-1.02914241475408
ENSG00000003987.13	MTMR7	-0.00996732032613806	0.186951806985547	-0.0533149183570534	0.957480993977065	0.979392991680304	-1.00693274093536
ENSG00000003989.16	SLC7A2	0.0611939028582765	0.0549811726293352	1.11299741223828	0.265709540887215	NA	1.04332881085801
ENSG00000004059.10	ARF5	0.161434716508207	0.136121601955538	1.18595956989206	0.235638266288994	0.455268596377095	1.11839879894501
ENSG00000004139.13	SARM1	-0.501654041968878	0.111593193946781	-4.49538205894632	6.94451421247231e-06	0.000214636616083284	-1.41583588029433
ENSG00000004142.11	POLDIP2	0.160867391922716	0.0858777526604699	1.87321380612659	0.061038866599125	0.197642940190793	1.11795908689282
ENSG00000004399.12	PLXND1	-0.250668309749605	0.187089064129261	-1.33983411011355	0.180299283402801	0.389975678271242	-1.18975812737608
ENSG00000004455.16	AK2	0.0513622529841	0.10053237043866	0.510902635240645	0.609419235824518	0.776975607382423	1.03624292593479
ENSG00000004468.12	CD38	0.360928122977254	0.0887101962686694	4.0686204986419	4.72923017826554e-05	0.00100680227316547	1.28425182422864
ENSG00000004478.7	FKBP4	-0.0792294222476987	0.102272603054644	-0.774688625118566	0.438523674054614	0.647329791378335	-1.05645361282324
ENSG00000004487.15	KDM1A	-0.157050280751535	0.0733811763842518	-2.14019846083088	0.0323387315163582	0.130254372881905	-1.11500507816421
ENSG00000004534.14	RBM6	-0.108059331915308	0.0716126143996214	-1.50894270264038	0.131313425835134	0.321996467905187	-1.07777746853877
ENSG00000004660.14	CAMKK1	-0.557562531926659	0.178871139011703	-3.11711847426756	0.00182628163234239	0.0169186193278542	-1.47178050684524
ENSG00000004700.15	RECQL	-0.0605877931062583	0.103794409868853	-0.583728865386998	0.559402743624779	0.741963908509169	-1.0428905762135
ENSG00000004766.15	VPS50	0.047444181326049	0.0974233142313072	0.486990015689722	0.626265406471073	0.788551621958196	1.03343251504658
ENSG00000004776.11	HSPB6	0.0683750060716702	0.156170136567693	0.437823821982973	0.661514000849215	NA	1.04853499041234
ENSG00000004777.18	ARHGAP33	0.273421137855228	0.12577638600857	2.17386702331071	0.0297151232474152	0.122346679017707	1.20867061556273
ENSG00000004779.9	NDUFAB1	-0.153483048441584	0.108311127481504	-1.41705706523823	0.156466243995558	0.358617101710031	-1.11225150330367
ENSG00000004799.7	PDK4	NA	NA	NA	NA	NA	NA
ENSG00000004809.13	SLC22A16	NA	NA	NA	NA	NA	NA
ENSG00000004838.13	ZMYND10	-0.0205014363632723	0.184376744584246	-0.111193178996089	0.911463160464667	0.957518915925485	-1.01431196212916
ENSG00000004846.16	ABCB5	0.00878482169829753	0.034721776384648	0.253006113540368	0.800263488944358	NA	1.00610775110075
ENSG00000004848.6	ARX	-0.0510304770681643	0.185883522914802	-0.274529319586619	0.783677875024863	0.888153868447946	-1.03600464902431
ENSG00000004864.13	SLC25A13	-0.368565537052565	0.0883743704992029	-4.17050254469297	3.03928661239882e-05	0.000715746458329621	-1.29106849065133
ENSG00000004866.18	ST7	0.167039756948057	0.0931136327970446	1.79393448553495	0.072823626342338	0.22172389694492	1.12275236180171
ENSG00000004897.11	CDC27	-0.154760991680782	0.0856112025123873	-1.8077189332598	0.0706502563243691	0.217687106732875	-1.11323717523852
ENSG00000004939.13	SLC4A1	-0.0385781062450955	0.0695192794554617	-0.554926727481562	0.578944779541095	NA	-1.02710103571328
ENSG00000004948.13	CALCR	-0.0075831806593208	0.034721776384648	-0.218398407250663	0.827118706418463	NA	-1.00527009866523
ENSG00000004961.14	HCCS	0.133939603144692	0.0876286762134637	1.52849054593059	0.126390789051634	0.314246515043705	1.09728599993537
ENSG00000004975.11	DVL2	0.031571981596441	0.0841904902805542	0.375006505975097	0.707655628100494	0.841607990529919	1.02212524176148
ENSG00000005001.9	PRSS22	0.0552767757994286	0.0518783423808709	1.06550774875588	0.286646220937247	NA	1.03905842375924
ENSG00000005007.12	UPF1	0.278913898106491	0.0812992696455495	3.43070607303739	0.000602012518898568	0.00752455925159033	1.21328114791024
ENSG00000005020.12	SKAP2	0.00853798792287962	0.0994976287048752	0.0858109689046415	0.931616686719499	0.968517464578045	1.00593562870189
ENSG00000005022.5	SLC25A5	-0.311521574120218	0.0927957932015834	-3.35706569632407	0.000787743927231558	0.00927550069083215	-1.24101587815371
ENSG00000005059.15	CCDC109B	-0.272858596754721	0.0923672689607364	-2.95406153959915	0.00313621459147853	0.0249767178495815	-1.20819941802177
ENSG00000005073.5	HOXA11	-0.0663049832009981	0.105137238119207	-0.630651749913955	0.528268254014401	NA	-1.04703159922418
ENSG00000005075.15	POLR2J	0.197881570822748	0.12197855796629	1.62226520891839	0.104746574646678	0.277306596758458	1.1470128633942
ENSG00000005100.12	DHX33	-0.145007636643782	0.0748643098989183	-1.93693946874781	0.0527527430894757	0.180549551236521	-1.10573650631985
ENSG00000005102.12	MEOX1	NA	NA	NA	NA	NA	NA
ENSG00000005108.15	THSD7A	0.0892235515013736	0.186672382280518	0.477968676519566	0.632672499585736	0.792507538504741	1.06379749989916
ENSG00000005156.11	LIG3	0.102584363880237	0.0870600419006728	1.17831741911261	0.238670085938395	0.458994171478418	1.07369509871582
ENSG00000005175.9	RPAP3	-0.23831553375475	0.0862099433902504	-2.76436248978793	0.00570341407448593	0.0388208070904637	-1.17961455912208
ENSG00000005187.11	ACSM3	-0.070647768043658	0.177463727502797	-0.398096946557964	0.690558725077099	0.831885747890297	-1.05018811076433
ENSG00000005189.19	AC004381.6	0.0779015329937105	0.0968614436725001	0.804257401501311	0.421248333966974	0.634086948584218	1.05548167630926
ENSG00000005194.14	CIAPIN1	0.111051119178507	0.1056165886896	1.05145527380059	0.293049541006179	0.516671028146774	1.0800148274439
ENSG00000005206.16	SPPL2B	0.122153210248083	0.100888850093099	1.21077017069142	0.225983500441593	0.443829481225819	1.0883580161638
ENSG00000005238.19	FAM214B	-0.160635919971824	0.130992185627063	-1.22630154770573	0.220085219153221	0.436807447402558	-1.11777973130825
ENSG00000005243.9	COPZ2	-0.085755231297587	0.184293893909017	-0.465317811017238	0.641703881752025	0.798817034501903	-1.06124314238254
ENSG00000005249.12	PRKAR2B	0.388454640468087	0.119671912665877	3.24599675742334	0.00117040172556131	0.0123499927473592	1.30899051225593
ENSG00000005302.17	MSL3	0.181601377473654	0.0866215915730169	2.09649088842445	0.036038667356007	0.139506023967775	1.13414207355703
ENSG00000005339.13	CREBBP	0.34368055272497	0.12549171074713	2.73867134871958	0.00616880054027961	0.0412530350355535	1.26898987012401
ENSG00000005379.15	BZRAP1	0.213347006727257	0.139640099559294	1.52783482252292	0.126553554002672	0.314390163260472	1.15937477900024
ENSG00000005381.7	MPO	0.0193127391508285	0.0538358721063637	0.358733654628503	0.719794349133783	NA	1.0134765719832
ENSG00000005421.8	PON1	NA	NA	NA	NA	NA	NA
ENSG00000005436.13	GCFC2	-0.0318796886572647	0.108153535444981	-0.294763259713152	0.768174734554492	0.879519582029448	-1.02234327030409
ENSG00000005448.16	WDR54	0.117666519503692	0.0938557446144218	1.25369544493083	0.209952724218279	0.425347857139547	1.08497854894598
ENSG00000005469.11	CROT	-0.411866390307316	0.136001827915768	-3.02838863726451	0.00245861675406735	0.0209581275267216	-1.33040582491948
ENSG00000005471.15	ABCB4	0.000984247071232193	0.178484114879102	0.00551447994068761	0.995600103894245	0.997976426840925	1.00068246085291
ENSG00000005483.19	KMT2E	0.165579306413675	0.116153628059417	1.42551988413978	0.15400697647728	0.355223025314362	1.12161636662048
ENSG00000005486.16	RHBDD2	0.39517419037623	0.129538600597779	3.05062883613556	0.00228362682213823	0.0197741679258554	1.31510153541113
ENSG00000005513.9	SOX8	-0.314842563910662	0.189006680250458	-1.66577479427423	0.0957582782945404	0.263303679592302	-1.2438759062152
ENSG00000005700.14	IBTK	-0.158446440239923	0.122476732614733	-1.29368604842143	0.195773886349101	0.409454713498062	-1.11608463993852
ENSG00000005801.16	ZNF195	-0.167548736982696	0.0975428830672405	-1.71769309778549	0.0858526089906254	0.245329331066657	-1.12314853655548
ENSG00000005810.17	MYCBP2	0.0687972754710203	0.100197717049309	0.686615199397846	0.492325247796256	0.691957234124142	1.04884193611589
ENSG00000005812.10	FBXL3	-0.159465058942562	0.121811360768937	-1.30911483080014	0.190495456239608	0.402086153989416	-1.11687293274705
ENSG00000005844.17	ITGAL	0.309332775039742	0.0875261277824939	3.5341763982573	0.000409047983901458	0.00560173429258095	1.23913448616104
