KO01	KO02	KO03	WT01	WT02	WT03
TSPAN6!ENSG00000000003.14	3	1	4	0	0	0
TNMD!ENSG00000000005.5	0	0	0	0	0	0
DPM1!ENSG00000000419.12	3197	2318	1356	2630	2735	2721
SCYL3!ENSG00000000457.13	762	649	446	612	606	633
C1orf112!ENSG00000000460.16	1902	1544	948	1420	1647	1628
FGR!ENSG00000000938.12	1096	1033	762	1188	1267	1496
CFH!ENSG00000000971.15	1	1	2	0	1	2
FUCA2!ENSG00000001036.13	658	511	429	511	565	601
GCLC!ENSG00000001084.10	3893	3106	1968	2870	3063	2911
NFYA!ENSG00000001167.14	3165	2600	1923	2532	2727	2865
STPG1!ENSG00000001460.17	677	601	552	447	505	590
NIPAL3!ENSG00000001461.16	4604	3716	2794	2862	3473	3268
LAS1L!ENSG00000001497.16	5623	4879	3448	4095	4432	5249
ENPP4!ENSG00000001561.6	1881	1294	759	1335	1464	1139
SEMA3F!ENSG00000001617.11	55	53	48	38	70	55
CFTR!ENSG00000001626.14	1	0	0	0	0	0
ANKIB1!ENSG00000001629.9	3346	2615	1935	2580	2807	2558
CYP51A1!ENSG00000001630.15	545	522	373	651	760	676
KRIT1!ENSG00000001631.14	2714	2274	1691	2083	2321	2268
RAD52!ENSG00000002016.16	774	661	467	643	641	633
BAD!ENSG00000002330.13	990	929	743	793	956	1130
LAP3!ENSG00000002549.12	4098	3161	2133	3065	3350	3567
CD99!ENSG00000002586.18	0	0	0	0	0	0
HS3ST1!ENSG00000002587.9	1	0	0	1	0	3
AOC1!ENSG00000002726.19	8	5	7	3	4	7
WNT16!ENSG00000002745.12	5	3	1	7	6	14
HECW1!ENSG00000002746.14	0	1	0	2	0	0
MAD1L1!ENSG00000002822.15	2191	1773	1582	1429	1541	1942
LASP1!ENSG00000002834.17	12283	10371	9088	8758	9330	11045
SNX11!ENSG00000002919.14	2059	1775	1189	1797	1964	1887
TMEM176A!ENSG00000002933.7	1	1	0	0	2	0
M6PR!ENSG00000003056.7	6451	5118	3585	4980	5509	5780
KLHL13!ENSG00000003096.13	3	5	7	1	2	2
CYP26B1!ENSG00000003137.8	0	0	0	0	1	1
ICA1!ENSG00000003147.17	70	68	52	53	72	46
DBNDD1!ENSG00000003249.13	52	34	29	37	27	43
ALS2!ENSG00000003393.14	1462	1116	847	1152	1323	1289
CASP10!ENSG00000003400.14	165	137	111	148	159	166
CFLAR!ENSG00000003402.19	6136	5235	3882	4563	5196	4570
TFPI!ENSG00000003436.14	0	1	1	0	0	2
NDUFAF7!ENSG00000003509.15	1010	791	553	851	938	895
RBM5!ENSG00000003756.16	3830	3334	2308	3155	3298	3597
MTMR7!ENSG00000003987.13	56	62	22	45	60	38
SLC7A2!ENSG00000003989.16	1	1	1	0	0	0
ARF5!ENSG00000004059.10	3336	3209	3118	2432	2822	3822
SARM1!ENSG00000004139.13	436	456	327	555	622	694
POLDIP2!ENSG00000004142.11	11611	9889	7906	7947	8846	10450
PLXND1!ENSG00000004399.12	31	22	24	33	38	38
AK2!ENSG00000004455.16	8652	8137	6893	7064	7824	9126
CD38!ENSG00000004468.12	11762	9958	7553	7379	8429	7360
FKBP4!ENSG00000004478.7	10393	9076	7797	8751	9639	12033
KDM1A!ENSG00000004487.15	9450	7612	5569	8013	8823	9238
RBM6!ENSG00000004534.14	6426	5565	4042	5512	5962	6434
CAMKK1!ENSG00000004660.14	41	41	22	62	60	70
RECQL!ENSG00000004700.15	3806	2971	1974	3078	3252	2976
VPS50!ENSG00000004766.15	1618	1256	872	1174	1292	1227
HSPB6!ENSG00000004776.11	7	6	8	6	3	9
ARHGAP33!ENSG00000004777.18	769	766	688	587	582	726
NDUFAB1!ENSG00000004779.9	3670	2832	1759	2871	3038	3517
PDK4!ENSG00000004799.7	0	0	0	0	0	0
SLC22A16!ENSG00000004809.13	0	0	0	0	0	0
ZMYND10!ENSG00000004838.13	40	38	34	40	33	47
ABCB5!ENSG00000004846.16	0	0	1	0	0	0
ARX!ENSG00000004848.6	33	41	36	36	37	51
SLC25A13!ENSG00000004864.13	2952	2482	1637	2993	3266	3229
ST7!ENSG00000004866.18	2454	2109	1842	1775	2012	2143
CDC27!ENSG00000004897.11	7933	6171	4483	6798	7422	7092
SLC4A1!ENSG00000004939.13	1	0	1	0	0	5
CALCR!ENSG00000004948.13	0	0	0	0	1	0
HCCS!ENSG00000004961.14	2072	1743	1228	1368	1582	1765
DVL2!ENSG00000004975.11	4577	4104	3233	3588	4024	4540
PRSS22!ENSG00000005001.9	0	1	2	0	0	0
UPF1!ENSG00000005007.12	15388	13667	10953	10142	11338	12623
SKAP2!ENSG00000005020.12	4392	3358	2490	3378	3773	3255
SLC25A5!ENSG00000005022.5	15374	12156	7909	13923	15490	16057
CCDC109B!ENSG00000005059.15	5482	4151	2851	4800	5215	5567
HOXA11!ENSG00000005073.5	2	2	1	1	7	1
POLR2J!ENSG00000005075.15	1999	1747	1609	1332	1516	2004
DHX33!ENSG00000005100.12	4954	4211	2968	4316	4671	4881
MEOX1!ENSG00000005102.12	0	0	0	0	0	0
THSD7A!ENSG00000005108.15	52	28	31	29	41	33
LIG3!ENSG00000005156.11	1934	1605	1354	1413	1622	1695
RPAP3!ENSG00000005175.9	6948	5513	3870	6304	6946	6644
ACSM3!ENSG00000005187.11	59	43	43	53	59	50
AC004381.6!ENSG00000005189.19	1026	910	633	722	831	955
CIAPIN1!ENSG00000005194.14	3934	3567	3086	2954	3284	4019
SPPL2B!ENSG00000005206.16	1923	1785	1195	1540	1397	1668
FAM214B!ENSG00000005238.19	239	230	200	232	266	303
COPZ2!ENSG00000005243.9	35	39	31	41	39	41
PRKAR2B!ENSG00000005249.12	10847	8735	5065	5936	6708	5701
MSL3!ENSG00000005302.17	4799	4437	3501	3500	3835	4319
CREBBP!ENSG00000005339.13	11998	10665	11269	8220	9203	10189
BZRAP1!ENSG00000005379.15	302	358	219	262	228	274
MPO!ENSG00000005381.7	1	1	0	1	0	0
PON1!ENSG00000005421.8	0	0	0	0	0	0
GCFC2!ENSG00000005436.13	1646	1335	844	1269	1440	1277
WDR54!ENSG00000005448.16	1294	1051	774	867	959	1125
CROT!ENSG00000005469.11	349	246	157	366	354	344
ABCB4!ENSG00000005471.15	56	56	35	55	49	47
KMT2E!ENSG00000005483.19	7303	6809	6588	5817	6554	6991
RHBDD2!ENSG00000005486.16	2624	2619	2315	1531	1912	2427
SOX8!ENSG00000005513.9	24	19	33	30	45	53
IBTK!ENSG00000005700.14	4089	3058	1850	3380	3693	3179
ZNF195!ENSG00000005801.16	1409	1208	827	1254	1466	1288
MYCBP2!ENSG00000005810.17	11652	8854	7373	8666	10178	8476
FBXL3!ENSG00000005812.10	4237	3377	1866	3496	3738	3571
ITGAL!ENSG00000005844.17	14057	12269	10440	9110	10332	11258
PDK2!ENSG00000005882.11	1027	983	900	627	739	967
ITGA3!ENSG00000005884.17	937	815	703	733	860	891
ZFX!ENSG00000005889.15	3001	2303	1737	2537	2778	2402
LAMP2!ENSG00000005893.15	5889	4511	2853	5638	6041	5029
ITGA2B!ENSG00000005961.17	9	3	10	13	7	13
ASB4!ENSG00000005981.12	1	1	0	0	0	0
GDE1!ENSG00000006007.11	3799	2993	2223	3085	3366	3700
C19orf60!ENSG00000006015.17	1760	1571	1226	1313	1372	1787
